group_id,kept_image,removed_images,label_status,original_labels
group_0044,img_6131.png,img_6134.png;img_6135.png,equivalent,Maxima;Maxima;Maxima
group_0045,img_6146.png,img_6147.png,equivalent,Maxpro;Maxpro
group_0046,img_6228.png,img_6230.png,equivalent,Nexcap;Nexcap
group_0047,,img_6229.png;img_6296.png,conflict,Nexcap;Opton
group_0048,img_6280.png,img_6281.png,equivalent,Omastin;Omastin
group_0049,img_6291.png,img_6294.png,equivalent,Opton;Opton
group_0050,img_6298.png,img_6300.png,equivalent,Progut;Progut
group_0051,img_6299.png,img_6307.png,equivalent,Progut;Progut
group_0052,img_6301.png,img_6304.png,equivalent,Progut;Progut
group_0053,img_6305.png,img_6306.png,equivalent,Progut;Progut
group_0054,img_6378.png,img_6387.png,equivalent,Sergel;Sergel
group_0055,img_6448.png,img_6460.png,equivalent,Aceta;Aceta
group_0056,img_6535.png,img_6536.png,equivalent,Alatrol;Alatrol
group_0057,img_6628.png,img_6629.png,equivalent,Atrizin;Atrizin
group_0058,img_6636.png,img_6639.png,equivalent,Atrizin;Atrizin
group_0059,img_6653.png,img_6685.png,equivalent,Axodin;Axodin
group_0060,img_6704.png,img_6717.png,equivalent,Azithrocin;Azithrocin
group_0061,img_6889.png,img_6900.png,equivalent,Baclofen;Baclofen
group_0062,img_6895.png,img_6897.png,equivalent,Baclofen;Baclofen
group_0063,img_6904.png,img_6917.png,equivalent,Baclofen;Baclofen
group_0064,img_6928.png,img_6932.png,equivalent,Baclon;Baclon
group_0065,img_6929.png,img_6940.png;img_6962.png;img_6963.png;img_6964.png,equivalent,Baclon;Baclon;Baclon;Baclon;Baclon
group_0066,img_6930.png,img_6933.png;img_6934.png;img_6935.png;img_6967.png,equivalent,Baclon;Baclon;Baclon;Baclon;Baclon
group_0067,img_6937.png,img_6938.png;img_6939.png;img_6941.png;img_6942.png,equivalent,Baclon;Baclon;Baclon;Baclon;Baclon
group_0068,img_6943.png,img_6946.png;img_6947.png;img_6948.png;img_6949.png,equivalent,Baclon;Baclon;Baclon;Baclon;Baclon
group_0069,img_6944.png,img_6957.png,equivalent,Baclon;Baclon
group_0070,img_6970.png,img_6973.png,equivalent,Bacmax;Bacmax
group_0071,img_6974.png,img_6975.png,equivalent,Bacmax;Bacmax
group_0072,img_6977.png,img_6978.png,equivalent,Bacmax;Bacmax
group_0073,img_6979.png,img_6981.png,equivalent,Bacmax;Bacmax
group_0074,img_6980.png,img_7002.png,equivalent,Bacmax;Bacmax
group_0075,img_6986.png,img_6987.png,equivalent,Bacmax;Bacmax
group_0076,img_6988.png,img_6989.png,equivalent,Bacmax;Bacmax
group_0077,img_7003.png,img_7004.png,equivalent,Bacmax;Bacmax
group_0078,img_7005.png,img_7006.png,equivalent,Bacmax;Bacmax
group_0079,img_7048.png,img_7052.png,equivalent,Bicozin;Bicozin
group_0080,img_7065.png,img_7078.png,equivalent,Bicozin;Bicozin
group_0081,img_7100.png,img_7122.png;img_7123.png,equivalent,Canazole;Canazole;Canazole
group_0082,img_7124.png,img_7125.png,equivalent,Canazole;Canazole
group_0083,img_7276.png,img_7279.png,equivalent,Dancel;Dancel
group_0084,img_7288.png,img_7292.png,equivalent,Denixil;Denixil
group_0085,img_7305.png,img_7318.png;img_7321.png,equivalent,Denixil;Denixil;Denixil
group_0086,img_7308.png,img_7309.png,equivalent,Denixil;Denixil
group_0087,img_7312.png,img_7313.png,equivalent,Denixil;Denixil
group_0088,img_7314.png,img_7315.png,equivalent,Denixil;Denixil
group_0089,img_7316.png,img_7319.png,equivalent,Denixil;Denixil
group_0090,img_7328.png,img_7359.png,equivalent,Diflu;Diflu
group_0091,img_7332.png,img_7345.png,equivalent,Diflu;Diflu
group_0092,img_7358.png,img_7361.png,equivalent,Diflu;Diflu
group_0093,img_7368.png,img_7399.png,equivalent,Dinafex;Dinafex
group_0094,img_7385.png,img_7398.png,equivalent,Dinafex;Dinafex
group_0095,img_7448.png,img_7479.png,equivalent,Esonix;Esonix
group_0096,img_7452.png,img_7465.png,equivalent,Esonix;Esonix
group_0097,img_7473.png,img_7474.png,equivalent,Esonix;Esonix
group_0098,img_7475.png,img_7476.png,equivalent,Esonix;Esonix
group_0099,img_7543.png,img_7549.png,equivalent,Etizin;Etizin
group_0100,img_7546.png,img_7552.png,equivalent,Etizin;Etizin
group_0101,img_7568.png,img_7572.png,equivalent,Exium;Exium
group_0102,img_7585.png,img_7598.png,equivalent,Exium;Exium
group_0103,img_7592.png,img_7593.png,equivalent,Exium;Exium
group_0104,img_7594.png,img_7595.png,equivalent,Exium;Exium
group_0105,img_7596.png,img_7599.png,equivalent,Exium;Exium
group_0106,img_7626.png,img_7627.png,equivalent,Fenadin;Fenadin
group_0107,img_7628.png,img_7629.png,equivalent,Fenadin;Fenadin
group_0108,img_7632.png,img_7633.png,equivalent,Fenadin;Fenadin
group_0109,img_7654.png,img_7670.png,equivalent,Fexofast;Fexofast
group_0110,img_7655.png,img_7687.png,equivalent,Fexofast;Fexofast
group_0111,img_7664.png,img_7677.png,equivalent,Fexofast;Fexofast
group_0112,img_7705.png,img_7719.png,equivalent,Fexo;Fexo
group_0113,img_7716.png,img_7718.png,equivalent,Fexo;Fexo
group_0114,img_7768.png,img_7799.png,equivalent,Fixal;Fixal
group_0115,img_7789.png,img_7792.png,equivalent,Fixal;Fixal
group_0116,img_7793.png,img_7794.png,equivalent,Fixal;Fixal
group_0117,img_7795.png,img_7796.png,equivalent,Fixal;Fixal
group_0118,img_7810.png,img_7845.png,equivalent,Flamyd;Flamyd
group_0119,img_7811.png,img_7846.png,equivalent,Flamyd;Flamyd
group_0120,img_7844.png,img_7847.png,equivalent,Flamyd;Flamyd
group_0121,img_7848.png,img_7852.png,equivalent,Flexibac;Flexibac
group_0122,img_7865.png,img_7878.png,equivalent,Flexibac;Flexibac
group_0123,img_7874.png,img_7875.png,equivalent,Flexibac;Flexibac
group_0124,img_7876.png,img_7879.png,equivalent,Flexibac;Flexibac
group_0125,img_7888.png,img_7919.png,equivalent,Flexilax;Flexilax
group_0126,img_7897.png,img_7902.png,equivalent,Flexilax;Flexilax
group_0127,img_7903.png,img_7923.png,equivalent,Flexilax;Flexilax
group_0128,img_7909.png,img_7912.png,equivalent,Flexilax;Flexilax
group_0129,img_7913.png,img_7914.png,equivalent,Flexilax;Flexilax
group_0130,img_7915.png,img_7916.png,equivalent,Flexilax;Flexilax
group_0131,img_7929.png,img_7940.png,equivalent,Flugal;Flugal
group_0132,img_7933.png,img_7934.png,equivalent,Flugal;Flugal
group_0133,img_7962.png,img_7963.png,equivalent,Flugal;Flugal
group_0134,img_7972.png,img_7985.png,equivalent,Ketocon;Ketocon
group_0135,img_7998.png,img_8001.png,equivalent,Ketocon;Ketocon
group_0136,img_8008.png,img_8012.png,equivalent,Ketoral;Ketoral
group_0137,img_8038.png,img_8041.png,equivalent,Ketoral;Ketoral
group_0138,img_8049.png,img_8051.png;img_8080.png,equivalent,Ketotab;Ketotab;Ketotab
group_0139,img_8056.png,img_8060.png,equivalent,Ketotab;Ketotab
group_0140,img_8065.png,img_8078.png,equivalent,Ketotab;Ketotab
group_0141,img_8070.png,img_8082.png,equivalent,Ketotab;Ketotab
group_0142,img_8083.png,img_8084.png,equivalent,Ketotab;Ketotab
group_0143,img_8088.png,img_8119.png,equivalent,Ketozol;Ketozol
group_0144,img_8089.png,img_8094.png,equivalent,Ketozol;Ketozol
group_0145,img_8092.png,img_8105.png,equivalent,Ketozol;Ketozol
group_0146,img_8095.png,img_8100.png,equivalent,Ketozol;Ketozol
group_0147,img_8097.png,img_8122.png,equivalent,Ketozol;Ketozol
group_0148,img_8098.png,img_8123.png,equivalent,Ketozol;Ketozol
group_0149,img_8101.png,img_8124.png,equivalent,Ketozol;Ketozol
group_0150,img_8118.png,img_8121.png,equivalent,Ketozol;Ketozol
group_0151,img_8208.png,img_8212.png,equivalent,Lumona;Lumona
group_0152,img_8225.png,img_8238.png,equivalent,Lumona;Lumona
group_0153,img_8226.png,img_8227.png,equivalent,Lumona;Lumona
group_0154,img_8230.png,img_8240.png,equivalent,Lumona;Lumona
group_0155,img_8234.png,img_8235.png,equivalent,Lumona;Lumona
group_0156,img_8236.png,img_8239.png,equivalent,Lumona;Lumona
group_0157,img_8288.png,img_8292.png,equivalent,Maxima;Maxima
group_0158,img_8289.png,img_8320.png,equivalent,Maxima;Maxima
group_0159,img_8296.png,img_8304.png,equivalent,Maxima;Maxima
group_0160,img_8310.png,img_8317.png,equivalent,Maxima;Maxima
group_0161,img_8316.png,img_8319.png,equivalent,Maxima;Maxima
group_0162,img_8334.png,img_8335.png,equivalent,Maxpro;Maxpro
group_0163,img_8354.png,img_8358.png,equivalent,Maxpro;Maxpro
group_0164,img_8355.png,img_8361.png,equivalent,Maxpro;Maxpro
group_0165,img_8373.png,img_8384.png,equivalent,Metro;Metro
group_0166,img_8374.png,img_8397.png,equivalent,Metro;Metro
group_0167,img_8390.png,img_8403.png,equivalent,Metro;Metro
group_0168,img_8400.png,img_8404.png,equivalent,Metro;Metro
group_0169,img_8408.png,img_8412.png,equivalent,Metsina;Metsina
group_0170,img_8425.png,img_8438.png,equivalent,Metsina;Metsina
group_0171,img_8429.png,img_8432.png,equivalent,Metsina;Metsina
group_0172,img_8433.png,img_8434.png,equivalent,Metsina;Metsina
group_0173,img_8466.png,img_8467.png,equivalent,Monas;Monas
group_0174,img_8469.png,img_8473.png,equivalent,Monas;Monas
group_0175,img_8476.png,img_8479.png,equivalent,Monas;Monas
group_0176,img_8499.png,img_8501.png,equivalent,Montair;Montair
group_0177,img_8502.png,img_8503.png,equivalent,Montair;Montair
group_0178,img_8697.png,img_8722.png,equivalent,Nexcap;Nexcap
group_0179,img_8712.png,img_8713.png,equivalent,Nexcap;Nexcap
group_0180,img_8714.png,img_8715.png,equivalent,Nexcap;Nexcap
group_0181,img_8716.png,img_8719.png,equivalent,Nexcap;Nexcap
group_0182,img_8718.png,img_8721.png,equivalent,Nexcap;Nexcap
group_0183,img_8738.png,img_8743.png,equivalent,Nexum;Nexum
group_0184,img_8764.png,img_8765.png,equivalent,Nexum;Nexum
group_0185,img_8766.png,img_8767.png,equivalent,Nexum;Nexum
group_0186,img_8768.png,img_8799.png,equivalent,Nidazyl;Nidazyl
group_0187,img_8798.png,img_8801.png,equivalent,Nidazyl;Nidazyl
group_0188,img_8846.png,img_8847.png,equivalent,Nizoder;Nizoder
group_0189,img_8875.png,img_8876.png,equivalent,Odmon;Odmon
group_0190,img_8888.png,img_8892.png,equivalent,Omastin;Omastin
group_0191,img_8905.png,img_8918.png,equivalent,Omastin;Omastin
group_0192,img_8916.png,img_8919.png,equivalent,Omastin;Omastin
group_0193,img_8945.png,img_8958.png,equivalent,Opton;Opton
group_0194,img_8962.png,img_8963.png,equivalent,Opton;Opton
group_0195,img_8994.png,img_8995.png,equivalent,Progut;Progut
group_0196,img_9043.png,img_9044.png,equivalent,Provair;Provair
group_0197,img_9158.png,img_9161.png,equivalent,Ritch;Ritch
group_0198,img_9288.png,img_9319.png,equivalent,Sergel;Sergel
group_0199,img_9303.png,img_9306.png,equivalent,Sergel;Sergel
group_0200,img_9307.png,img_9308.png,equivalent,Sergel;Sergel
group_0201,img_9309.png,img_9312.png,equivalent,Sergel;Sergel
group_0202,img_9313.png,img_9314.png,equivalent,Sergel;Sergel
group_0203,img_9315.png,img_9316.png,equivalent,Sergel;Sergel
group_0204,img_9332.png,img_9345.png,equivalent,Tamen;Tamen
group_0205,img_9372.png,img_9385.png,equivalent,Telfast;Telfast
group_0206,img_9388.png,img_9389.png,equivalent,Telfast;Telfast
group_0207,img_9392.png,img_9393.png,equivalent,Telfast;Telfast
group_0208,img_9452.png,img_9465.png,equivalent,Trilock;Trilock
group_0209,img_9463.png,img_9466.png,equivalent,Trilock;Trilock
group_0210,img_9506.png,img_9507.png,equivalent,Vifas;Vifas
group_0211,img_9515.png,img_9516.png,equivalent,Vifas;Vifas
group_0212,img_9557.png,img_9564.png,equivalent,Zithrin;Zithrin
group_0213,img_9631.png,img_9633.png,equivalent,Azithrocin;Azithrocin
group_0214,img_9634.png,img_9635.png,equivalent,Azithrocin;Azithrocin
group_0215,img_9690.png,img_9691.png;img_9693.png,equivalent,Baclon;Baclon;Baclon
group_0216,img_9692.png,img_9694.png;img_9695.png;img_9696.png;img_9697.png,equivalent,Baclon;Baclon;Baclon;Baclon;Baclon
group_0217,img_9871.png,img_9873.png,equivalent,Fexofast;Fexofast
group_0218,img_9874.png,img_9875.png,equivalent,Fexofast;Fexofast
group_0219,img_10028.png,img_10032.png,equivalent,Maxima;Maxima
group_0220,img_10031.png,img_10034.png,equivalent,Maxima;Maxima
group_0221,img_10145.png,img_10146.png,equivalent,Nexum;Nexum
group_0001,img_5732.png,img_9632.png,equivalent,Azithrocin;Azithrocin
group_0002,img_5792.png,img_9692.png,equivalent,Baclon;Baclon
group_0003,img_5813.png,img_9709.png,equivalent,Beklo;Beklo
group_0004,img_5818.png,img_7081.png,equivalent,Bicozin;Bicozin
group_0005,img_5823.png,img_9719.png,equivalent,Bicozin;Bicozin
group_0006,img_5886.png,img_7307.png,equivalent,Denixil;Denixil
group_0007,img_5919.png,img_9819.png,equivalent,Esonix;Esonix
group_0008,img_5923.png,img_7471.png,equivalent,Esonix;Esonix
group_0009,,img_5959.png;img_7688.png,conflict,Fenadin;Fexo
group_0010,img_5961.png,img_7618.png,equivalent,Fenadin;Fenadin
group_0011,img_5972.png,img_9872.png,equivalent,Fexofast;Fexofast
group_0012,img_6001.png,img_7771.png,equivalent,Fixal;Fixal
group_0013,img_6017.png,img_9909.png,equivalent,Flamyd;Flamyd
group_0014,img_6018.png,img_7881.png,equivalent,Flexibac;Flexibac
group_0015,img_6042.png,img_7957.png,equivalent,Flugal;Flugal
group_0016,img_6053.png,img_9949.png,equivalent,Ketocon;Ketocon
group_0017,img_6108.png,img_8241.png,equivalent,Lumona;Lumona
group_0018,img_6128.png,img_8321.png,equivalent,Maxima;Maxima
group_0019,img_6132.png,img_8289.png,equivalent,Maxima;Maxima
group_0020,img_6138.png,img_8329.png,equivalent,Maxpro;Maxpro
group_0021,img_6140.png,img_8362.png,equivalent,Maxpro;Maxpro
group_0022,img_6144.png,img_8356.png,equivalent,Maxpro;Maxpro
group_0023,img_6158.png,img_8441.png,equivalent,Metsina;Metsina
group_0024,img_6278.png,img_8921.png,equivalent,Omastin;Omastin
group_0025,img_6283.png,img_8901.png,equivalent,Omastin;Omastin
group_0026,img_6303.png,img_10199.png,equivalent,Progut;Progut
group_0027,img_6343.png,img_10239.png,equivalent,Ritch;Ritch
group_0028,img_6381.png,img_9290.png,equivalent,Sergel;Sergel
group_0029,img_6383.png,img_9293.png,equivalent,Sergel;Sergel
group_0030,,img_6386.png;img_8345.png,conflict,Sergel;Maxpro
group_0031,img_6404.png,img_10299.png,equivalent,Telfast;Telfast
group_0032,img_6442.png,img_9565.png,equivalent,Zithrin;Zithrin
group_0033,img_6454.png,img_9568.png,equivalent,Aceta;Aceta
group_0034,img_6944.png,img_9690.png,equivalent,Baclon;Baclon
group_0035,img_6969.png,img_9707.png,equivalent,Bacmax;Bacmax
group_0036,img_7649.png,img_9877.png,equivalent,Fexofast;Fexofast
group_0037,img_8056.png,img_9976.png,equivalent,Ketotab;Ketotab
group_0038,img_8070.png,img_9977.png,equivalent,Ketotab;Ketotab
group_0039,img_8071.png,img_9975.png,equivalent,Ketotab;Ketotab
group_0040,img_8093.png,img_9987.png,equivalent,Ketozol;Ketozol
group_0041,img_8296.png,img_10036.png,equivalent,Maxima;Maxima
group_0042,img_8297.png,img_10035.png,equivalent,Maxima;Maxima
group_0043,img_8300.png,img_10028.png,equivalent,Maxima;Maxima
group_0044,img_8310.png,img_10037.png,equivalent,Maxima;Maxima
group_0045,img_8322.png,img_10030.png,equivalent,Maxima;Maxima
group_0046,img_8323.png,img_10031.png,equivalent,Maxima;Maxima
group_0047,img_8359.png,img_10047.png,equivalent,Maxpro;Maxpro
group_0048,img_8370.png,img_10053.png,equivalent,Metro;Metro
group_0049,img_8405.png,img_10048.png,equivalent,Metro;Metro
group_0050,img_8406.png,img_10050.png,equivalent,Metro;Metro
group_0051,img_8407.png,img_10051.png,equivalent,Metro;Metro
group_0052,img_9530.png,img_10344.png,equivalent,Zithrin;Zithrin
group_0053,img_9533.png,img_10345.png,equivalent,Zithrin;Zithrin
group_0054,img_9534.png,img_10346.png,equivalent,Zithrin;Zithrin
group_0055,img_9566.png,img_10342.png,equivalent,Zithrin;Zithrin
